iteracion;tiempo (ms);fitness total;fitness 1;fitness 2;fitness 3;fitness 4;tamaño;porcentajeMejora;vecindad.
1818;310193;0.8055169861360845;0.703568;0.9168395061728395;1.0000000000000002;0.7019159911569639;25;100.0;MoveRejilla_6
1819;310220;0.8055169861360845;0.703568;0.9168395061728395;1.0000000000000002;0.7019159911569639;25;100.0;MoveMaxCarga
1820;310224;0.8055169861360845;0.703568;0.9168395061728395;1.0000000000000002;0.7019159911569639;25;100.0;MoveLibre
1821;310229;0.8055169861360845;0.703568;0.9168395061728395;1.0000000000000002;0.7019159911569639;25;100.0;MoveRejilla_1
1822;310637;0.8055169861360845;0.703568;0.9168395061728395;1.0000000000000002;0.7019159911569639;25;100.0;MoveRejilla_2
1823;311061;0.8055169861360845;0.703568;0.9168395061728395;1.0000000000000002;0.7019159911569639;25;100.0;MoveRejilla_3
1824;311466;0.8055169861360845;0.703568;0.9168395061728395;1.0000000000000002;0.7019159911569639;25;100.0;MoveRejilla_4
1825;311487;0.8055169861360845;0.703568;0.9168395061728395;1.0000000000000002;0.7019159911569639;25;100.0;MoveRejilla_5
1826;311510;0.8055169861360845;0.703568;0.9168395061728395;1.0000000000000002;0.7019159911569639;25;100.0;MoveRejilla_6
1827;311532;0.8055169861360845;0.703568;0.9168395061728395;1.0000000000000002;0.7019159911569639;25;100.0;MoveLibre
1828;311537;0.8055169861360845;0.703568;0.9168395061728395;1.0000000000000002;0.7019159911569639;25;100.0;MoveMaxCarga
1829;311542;0.8055169861360845;0.703568;0.9168395061728395;1.0000000000000002;0.7019159911569639;25;100.0;MoveRejilla_1
1830;311946;0.8055169861360845;0.703568;0.9168395061728395;1.0000000000000002;0.7019159911569639;25;100.0;MoveRejilla_2
1831;312363;0.8055169861360845;0.703568;0.9168395061728395;1.0000000000000002;0.7019159911569639;25;100.0;MoveRejilla_3
1832;312768;0.8055169861360845;0.703568;0.9168395061728395;1.0000000000000002;0.7019159911569639;25;100.0;MoveRejilla_4
1833;312790;0.8055169861360845;0.703568;0.9168395061728395;1.0000000000000002;0.7019159911569639;25;100.0;MoveRejilla_5
1834;312818;0.8055169861360845;0.703568;0.9168395061728395;1.0000000000000002;0.7019159911569639;25;100.0;MoveRejilla_6
1835;312841;0.8055169861360845;0.703568;0.9168395061728395;1.0000000000000002;0.7019159911569639;25;100.0;MoveMaxCarga
1836;312846;0.8055169861360845;0.703568;0.9168395061728395;1.0000000000000002;0.7019159911569639;25;100.0;MoveLibre
1837;312851;0.8055169861360845;0.703568;0.9168395061728395;1.0000000000000002;0.7019159911569639;25;100.0;MoveRejilla_1
1838;313255;0.8055169861360845;0.703568;0.9168395061728395;1.0000000000000002;0.7019159911569639;25;100.0;MoveRejilla_2
1839;313674;0.8055169861360845;0.703568;0.9168395061728395;1.0000000000000002;0.7019159911569639;25;100.0;MoveRejilla_3
1840;314084;0.8055169861360845;0.703568;0.9168395061728395;1.0000000000000002;0.7019159911569639;25;100.0;MoveRejilla_4
1841;314105;0.8055169861360845;0.703568;0.9168395061728395;1.0000000000000002;0.7019159911569639;25;100.0;MoveRejilla_5
1842;314133;0.8055169861360845;0.703568;0.9168395061728395;1.0000000000000002;0.7019159911569639;25;100.0;MoveRejilla_6
1843;314157;0.8055169861360845;0.703568;0.9168395061728395;1.0000000000000002;0.7019159911569639;25;100.0;MoveMaxCarga
1844;314161;0.8055169861360845;0.703568;0.9168395061728395;1.0000000000000002;0.7019159911569639;25;100.0;MoveLibre
1845;314166;0.8055169861360845;0.703568;0.9168395061728395;1.0000000000000002;0.7019159911569639;25;100.0;MoveRejilla_1
1846;314570;0.8055169861360845;0.703568;0.9168395061728395;1.0000000000000002;0.7019159911569639;25;100.0;MoveRejilla_2
1847;314995;0.8055169861360845;0.703568;0.9168395061728395;1.0000000000000002;0.7019159911569639;25;100.0;MoveRejilla_3
1848;315403;0.8055169861360845;0.703568;0.9168395061728395;1.0000000000000002;0.7019159911569639;25;100.0;MoveRejilla_4
1849;315426;0.8055169861360845;0.703568;0.9168395061728395;1.0000000000000002;0.7019159911569639;25;100.0;MoveRejilla_5
1850;315450;0.8055169861360845;0.703568;0.9168395061728395;1.0000000000000002;0.7019159911569639;25;100.0;MoveRejilla_6
1851;315475;0.8055169861360845;0.703568;0.9168395061728395;1.0000000000000002;0.7019159911569639;25;100.0;MoveLibre
1852;315479;0.8055169861360845;0.703568;0.9168395061728395;1.0000000000000002;0.7019159911569639;25;100.0;MoveMaxCarga
1853;315484;0.8055169861360845;0.703568;0.9168395061728395;1.0000000000000002;0.7019159911569639;25;100.0;MoveRejilla_1
1854;315885;0.8055169861360845;0.703568;0.9168395061728395;1.0000000000000002;0.7019159911569639;25;100.0;MoveRejilla_2
1855;316305;0.8055169861360845;0.703568;0.9168395061728395;1.0000000000000002;0.7019159911569639;25;100.0;MoveRejilla_3
1856;316711;0.8055169861360845;0.703568;0.9168395061728395;1.0000000000000002;0.7019159911569639;25;100.0;MoveRejilla_4
